show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_minutes,duration_seasons
s3653,Movie,"¡Ay, mi madre!","Frank Ariza","Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,2019-07-19,2019,TV-MA,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",81,NULL
s307,Movie,'76,"Izu Ojukwu","Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",Nigeria,2021-08-04,2016,TV-PG,"Dramas, International Movies","When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events.",118,NULL
s5968,Movie,'89,Unknown,"Lee Dixon, Ian Wright, Paul Merson","United Kingdom",2018-05-16,2017,TV-PG,"Sports Movies","Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game.",87,NULL
s5972,Movie,Unknown,"Lyric R. Cabral, David Felix Sutcliffe",Unknown,"United States",2016-06-30,2015,NR,Documentaries,"This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.",84,NULL
s2141,"TV Show",(Un)Well,Unknown,Unknown,"United States",2020-08-12,2020,TV-MA,"Reality TV","This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",NULL,1
s2037,Movie,#Alive,"Cho Il","Yoo Ah-in, Park Shin-hye","South Korea",2020-09-08,2020,TV-MA,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",99,NULL
s2305,Movie,"#AnneFrank - Parallel Stories","Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",Italy,2020-07-01,2019,TV-14,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",95,NULL
s2667,"TV Show",#blackAF,Unknown,"Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers","United States",2020-04-17,2020,TV-MA,"TV Comedies","Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",NULL,1
s5973,Movie,#cats_the_mewvie,"Michael Margolis",Unknown,Canada,2020-02-05,2020,TV-14,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers.",90,NULL
s2482,Movie,#FriendButMarried,"Rako Prijanto","Adipati Dolken, Vanesha Prescilla, Rendi Jhon, Beby Tsabina, Denira Wiraguna, Refal Hady, Diandra Agatha, Sari Nila",Indonesia,2020-05-21,2018,TV-G,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",102,NULL
s2325,Movie,"#FriendButMarried 2","Rako Prijanto","Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",Indonesia,2020-06-28,2020,TV-G,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",104,NULL
s5278,Movie,#realityhigh,"Fernando Lebrija","Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis","United States",2017-09-08,2017,TV-14,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",99,NULL
s5974,Movie,#Roxy,"Michael Kennedy","Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,2019-04-10,2018,TV-14,"Comedies, Romantic Movies","A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.",105,NULL
s5696,Movie,#Rucker50,"Robert McCullough Jr.",Unknown,"United States",2016-12-01,2016,TV-PG,"Documentaries, Sports Movies","This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.",56,NULL
s655,Movie,#Selfie,"Cristina Jacob","Flavia Hojda, Crina Semciuc, Olimpia Melinte, Sali Levent, Vlad Logigan, Alex Călin, Alina Chivulescu, Răzvan Vasilescu",Romania,2021-06-21,2014,TV-MA,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to have the time of their lives.",125,NULL
s656,Movie,"#Selfie 69","Cristina Jacob","Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Călin, Vlad Logigan, Sali Levent, Silvia Busuioc, Mihaela Mihut",Romania,2021-06-21,2016,TV-MA,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",119,NULL
s5980,Movie,"1 Chance 2 Dance","Adam Deyoe","Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride","United States",2017-07-01,2014,TV-PG,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",89,NULL
s5981,Movie,"1 Mile to You","Leif Tilden","Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote","United States",2017-07-07,2017,TV-14,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",105,NULL
s3393,Movie,"10 Days in Sun City","Adze Ugah","Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.","South Africa, Nigeria",2019-10-18,2017,TV-14,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa.",87,NULL
s5388,Movie,"10 jours en or","Nicolas Brossette","Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",France,2017-07-01,2012,TV-14,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives.",97,NULL
s5982,Movie,"10,000 B.C.","Roland Emmerich","Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif","United States, South Africa",2019-06-01,2008,PG-13,"Action & Adventure","Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.",109,NULL
s1584,"TV Show","100 Days My Prince",Unknown,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee","South Korea",2020-12-07,2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",NULL,1
s5983,Movie,"100 Days Of Solitude",Unknown,Unknown,Spain,2018-07-06,2018,TV-MA,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings.",93,NULL
s2817,"TV Show","100 Humans",Unknown,"Zainab Johnson, Sammy Obeid, Alie Ward","United States",2020-03-13,2020,TV-14,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",NULL,1
s5578,Movie,"100 Meters","Marcel Barrena","Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","Portugal, Spain",2017-03-10,2016,TV-MA,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",109,NULL
s3315,Movie,"100 Things to do Before High School",Unknown,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda","United States",2019-11-02,2014,TV-Y,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",44,NULL
s5984,Movie,"100 Years: One Woman's Fight for Justice","Melinda Janko",Unknown,"United States",2018-03-20,2016,TV-14,Documentaries,"This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.",75,NULL
s1434,Movie,"100% Halal","Jastis Arimba","Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih",Indonesia,2021-01-07,2020,TV-14,"Dramas, International Movies","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",101,NULL
s5985,"TV Show","100% Hotter",Unknown,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward","United Kingdom",2019-11-01,2017,TV-14,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",NULL,1
s5697,Movie,"1000 Rupee Note","Shrihari Sathe","Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",India,2016-12-01,2014,TV-14,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly.",89,NULL
s5986,Movie,"12 ROUND GUN","Sam Upton","Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone","United States",2019-03-14,2017,TV-MA,"Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch.",90,NULL
s5987,"TV Show","12 Years Promise",Unknown,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu","South Korea",2017-05-22,2014,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",NULL,1
s2444,Movie,122,"Yasir Al Yasiri","Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Egypt,2020-06-01,2019,TV-MA,"Horror Movies, International Movies","After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them.",95,NULL
s5988,Movie,"13 Cameras","Victor Zarcoff","PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault","United States",2016-08-13,2015,NR,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",90,NULL
s2418,"TV Show","13 Reasons Why",Unknown,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves","United States",2020-06-05,2020,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",NULL,4
s3562,"TV Show","13 Reasons Why: Beyond the Reasons",Unknown,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms","United States",2019-08-23,2019,TV-MA,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in "13 Reasons Why."",NULL,3
s5989,Movie,"13 Sins","Daniel Stamm","Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince","United States",2019-01-13,2014,R,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake.",93,NULL
s5758,Movie,13TH,"Ava DuVernay",Unknown,"United States",2016-10-07,2016,TV-MA,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",101,NULL
s5990,Movie,"13TH: A Conversation with Oprah Winfrey & Ava DuVernay",Unknown,"Oprah Winfrey, Ava DuVernay",,2017-01-26,2017,Unknown,Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",37,NULL
s5991,Movie,"14 Blades","Daniel Lee","Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu","Hong Kong, China, Singapore",2019-04-03,2010,R,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",113,NULL
s5992,Movie,"14 Cameras","Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief","United States",2018-10-27,2018,TV-MA,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",89,NULL
s4136,Movie,"14 Minutes from Earth","Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",Unknown,"United States",2019-02-01,2016,TV-MA,Documentaries,"A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.",84,NULL
s3963,Movie,"15 August","Swapnaneel Jayakar","Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,2019-03-29,2019,TV-14,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",124,NULL
s5967,Movie,15-Aug,"Swapnaneel Jayakar","Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar",India,2019-03-29,2019,TV-14,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",124,NULL
s5993,Movie,"16 Blocks","Richard Donner","Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz","United States, Germany",2019-11-01,2006,PG-13,"Action & Adventure","Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",102,NULL
s5994,Movie,"17 Again","Burr Steers","Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller","United States",2021-01-01,2009,PG-13,Comedies,"Nearing a midlife crisis, thirty-something Mike wishes for a "do-over" – and that's exactly what he gets when he wakes up to find he's 17 again.",102,NULL
